,1,2,3,4,5,6,7,8,9,10,11,12
sample1,4317.26,1618.76,4673.786667,1820.883333,2524.64,9077.646667,1852.333333,7567.59,6515.893333,15476.30333,1355.18,815.96
sample2,4407.236667,1739.89,5474.363333,1811.23,3651.303333,9690.706667,1798.68,7417.55,8644.306667,19995.76333,1317.62,811.85
sample3,4711,2035.176667,6665.636667,2364.206667,5427.456667,13269.45333,2104.206667,8397.903333,11858.05,26644.27333,1770.21,1018.393333
sample4,4188.446667,1598.633333,5373.816667,1534.37,4222.423333,8499.593333,1755.01,6901.55,10944.47333,23719.97667,1020.273333,629.4666667
sample5,4660.19,1657.73,6247.42,1638.026667,5889.373333,9544.32,1851.82,7211.12,14137.75333,29292.54667,1021.256667,684.7833333
sample6,3814.29,1484.566667,6953.86,1755.19,5282.82,9819.19,2016.256667,8058.47,15612.34,31175.71667,1226.316667,789.5933333
sample7,4611.833333,2170.413333,8957.723333,2927.53,8588.916667,13758.83,2369.62,9546.086667,18477.57667,36828.76333,2597.8,1731.616667
sample8,4191.793333,1850.773333,7950.916667,2750.4,6938.373333,12914.60333,2202.12,8876.713333,18383.76,36305.78333,3234.803333,1889.96
sample9,4588.083333,2018.543333,8855.316667,3071.92,8204.833333,12964.96667,2166.21,8732.846667,17555.95667,35888.84667,3046.876667,1902.003333
sample10,4193.043333,1746.986667,8507.29,3135.963333,7833.826667,13504.47667,2375.213333,9485,16840.53333,33806.84667,3175.263333,1971.223333
sample11,5462.573333,408.16,5585.913333,800.39,1325.25,11735.21667,1466.97,6032.85,3063.123333,8435.436667,729.1333333,573.86
sample12,5279.606667,394.3866667,5035.66,709.9933333,1691.13,14641.37,1823.546667,7562.683333,4093.19,11300.2,972.1766667,769.81
sample13,5409.506667,432.54,5363.806667,678.2233333,1844.866667,7530.07,1202.146667,4788.066667,3581.41,9848.073333,678.25,615.3466667
sample14,5443.896667,335.1033333,5609.873333,746.77,1573.33,7528.53,1108.04,4645.32,2937.41,7788.91,653.66,540.06
sample15,5941.523333,443.6033333,4007.506667,746.0733333,1977.333333,7036.883333,1142.193333,4697.493333,3441.333333,9632.58,1847.226667,1099.573333
sample16,5448.516667,261.6866667,3863.896667,432.89,945.8433333,7561.243333,1254.823333,5255.973333,1551.113333,4014.3,532.28,591.0633333
sample17,5034.893333,968.7266667,6629.883333,1233.32,2351.793333,7138.22,1237.923333,4773.606667,4778.53,12284.83667,1065.22,1159.18
sample18,4425.08,514.2133333,3516.9,815.6333333,1496.443333,7023.583333,1014.51,4338.21,3262.433333,8978.66,1795.08,1024.893333
sample19,4067.253333,984.1733333,7596.616667,2074.643333,7594.796667,7140.656667,1280.793333,5134.376667,19721.57667,37610.57667,1447.053333,973.3033333
sample20,5039.056667,1106.296667,6192.7,811.47,1659.91,10432.95333,1570.943333,6543.246667,3776.266667,9379.036667,762.6533333,1794.763333
sample21,5188.92,592.6266667,4363.723333,1118.4,3643.366667,6734.643333,1165.003333,4678.433333,7825.186667,18914.58,808.98,570.1766667
sample22,5321.096667,2168.823333,4539.146667,2385.01,1528.793333,11322.91333,1578.886667,6443.563333,3996.696667,10327.29333,2060.273333,1105.596667
sample23,5393.486667,599.39,2584.49,873.1866667,572.7666667,7113.5,1197.206667,4883.65,1183.426667,2865.56,673.0166667,578.36
sample24,4545.776667,1621.943333,8481.346667,2801.633333,6636.226667,7136.723333,1290.5,5199.23,14910.07667,30777.75333,3078.236667,2003.716667
sample25,5602.94,576.7133333,4473.846667,748.5333333,3073.126667,8753.176667,1378.516667,5434.303333,6973.606667,17753.21667,955.84,697.56
sample26,5691.416667,277.5166667,2127.653333,479.3333333,837.8033333,10559.02333,1305.386667,5493.516667,1780.736667,4753.08,694.9666667,550.2533333
sample27,4766.12,710.0366667,3736.176667,1117.306667,2289.496667,7737.606667,1107.663333,4701.413333,4683.293333,12662.21667,1435.306667,885.59
sample28,5686.32,374.9766667,3775.63,507.2766667,1021.643333,8604.516667,1225.51,4981.106667,2158.606667,5716.13,497.0133333,495.53
sample29,5046.3,727.5033333,4224.88,915.6533333,1762.19,7038.743333,921.3466667,4035.61,3529.43,9543.883333,1030,1160.05
sample30,5108.17,619.1633333,5145.596667,1099.57,1421.266667,10838.59,1656.3,6356.653333,3375.38,9098.096667,1296.82,1020.173333
sample31,5469.95,334.0833333,2130.946667,593.9766667,904.3033333,10318.96333,1205.726667,5028.806667,2041.84,5834.023333,1150.636667,848.87
sample32,5355.366667,944.63,4896.926667,1481.033333,1983.536667,6590.34,1060.456667,4318.786667,3782.896667,9800.783333,1697.583333,1113.733333
sample33,4969.283333,1057.94,3119.39,2281.94,1164.426667,9411.516667,1162.78,4654.303333,3062.76,8515.32,2080.363333,1117.376667
sample34,5088.433333,386.08,5886.063333,712.1933333,2655.153333,8958.02,1363.02,5483.903333,6915.096667,17324.43667,742.1866667,596.58
sample35,5257.33,687.5933333,4880.706667,1028.86,2392.956667,11709.49,1538.146667,6296.056667,5554.786667,14349.10333,1175.05,910.0933333
sample36,4720.773333,529.84,3827.116667,821.5366667,1943.29,7121.926667,1087.653333,4404.74,4514.716667,12216.56,741.6,826.5033333
sample37,5289.68,268.2633333,4199.72,634.4633333,1884.62,7142.13,1064.71,4357.906667,3916.936667,10871.01667,604.1433333,516.0533333
sample38,5092.646667,597.9433333,5244.146667,957.6266667,2276.206667,6935.316667,1047.51,3973.766667,4349.903333,11602.76,943.7166667,686.5433333
sample39,5360.186667,300.33,3465.953333,604.2266667,1258.51,7903.776667,1186.446667,4859.283333,2545.536667,7267.54,652.6933333,609.1066667
sample40,4982.383333,1124.31,4132.863333,1622.05,2736.35,6213.766667,1025.566667,3748.913333,6146.416667,15094.92333,1459.473333,947.0866667
sample41,5046.323333,556.5866667,3179.79,1030.66,1475.283333,9214.883333,1271.073333,5256.36,3610.876667,9583.176667,786.3466667,1094.296667
sample42,5318.046667,1188.496667,3516.92,2074.033333,1045.603333,7102.686667,1120.783333,4369.346667,2262.35,6145.8,1193.83,825.2066667
sample43,4441.006667,294.3966667,2232.24,519.4233333,1168.413333,4288.596667,669.2666667,2822.84,1773.42,5242.85,509.5933333,621.87
sample44,6039.77,338.3033333,6037.093333,654.7866667,3036.483333,7054.316667,1088.013333,4604.226667,5505.453333,14067.49,797.14,631.65
sample45,5832.116667,300.9833333,5801.716667,649.8633333,2173.433333,8734.233333,1196.866667,5140.206667,4304.543333,11496.14,655.49,676.4233333
sample46,4696.676667,1160.896667,5883.346667,1501.18,3458.923333,9625.036667,1424.046667,5802.45,8722.3,20494.63667,1658.093333,1351.02
sample47,5883.286667,255.9366667,6042.823333,587.81,2314.66,9503.7,1261.406667,5362.973333,4671.38,12286.26333,683.38,535.28
sample48,4559.7,629.01,3731.69,921.83,1841.346667,5952.24,894.5333333,3671.713333,3821.073333,10180.85333,834.1033333,1189.923333
sample49,4731.43,1700.59,3651.606667,1220.073333,1092.93,10446.07333,1644.236667,6536.533333,2850.926667,7458.82,891.96,702.9633333
sample50,4735.703333,1952.36,7773.906667,1653.24,7896.2,10140.88,1470.566667,5783.18,21640.56333,41747.16667,1114.366667,682.0333333
sample51,5090.406667,662.2233333,3578.396667,1142.8,1579.393333,10823.15,1478.32,5889.723333,3983.753333,10625.13333,1502.32,1022.56
sample52,4424.996667,664.25,3810.023333,1245.793333,1576.223333,8929.176667,1226.81,4853.673333,4183.313333,11200.60333,935.25,1251.19
sample53,4605.206667,979.3666667,7616.063333,1597.69,4256.326667,10074.89333,1352.866667,5426.23,10689.46333,25154.96,1795.413333,1670.076667
sample54,5272.993333,305.08,4022.873333,581.73,2676.04,8825.4,1331.33,5492.84,5619.823333,14915.15333,681.4633333,595.2366667
sample55,4981.263333,381.29,3291.936667,620.2533333,1409.493333,8662.706667,1425.263333,5853.503333,2975.173333,7897.456667,647.0533333,620.1566667
sample56,5271.273333,703.47,4558.856667,1215.34,1515.196667,12096.60333,1522.29,6208.416667,3018.736667,8071.96,1319.44,1786.043333
sample57,5003.683333,739.5166667,4541.646667,1005.376667,1791.053333,7510.096667,1263.153333,4975.626667,3661.03,9722.856667,1346.646667,1059.9
sample58,4779.156667,1014.456667,6398.483333,994.16,1518.183333,6082.39,1018.516667,4152.906667,2938.386667,7480.863333,824.37,2000.046667
sample59,4946.223333,637.2833333,3763.003333,1234.176667,1710.17,9180.516667,1455.56,5330.73,4330.063333,11436.59667,1103.79,1330.713333
sample60,5088.82,1379.18,3773.83,2647.183333,1065.566667,6278.84,979.8966667,4091.823333,1973.563333,5164.17,1384.856667,892.3533333
sample61,4961.113333,600.7666667,3615.76,1093.096667,1257.396667,12140.46667,1468.606667,5788.99,3313.42,9452.066667,903.0766667,676.8066667
sample62,5164.003333,535.0866667,4673.623333,1064.15,3188.773333,11592.40667,1402.12,6064.623333,7851.776667,20059.66667,1127.846667,826.6533333
sample63,4828.033333,816.0633333,2900.206667,1589.273333,1245.936667,10622.41667,1374.75,5410.64,3215.086667,8875.42,1406.98,909.9633333
sample64,5738.723333,620.76,3106.616667,768.7933333,1421.016667,7000.8,1098.083333,4487.62,2550.586667,7664.456667,1213.333333,811.9233333
sample65,5096.743333,316.7133333,5244.186667,568.13,2179.776667,6422.396667,1036.663333,4350.92,3701.876667,10029.81333,538.0166667,480.0466667
sample66,5779.413333,542.82,7273.123333,1102.46,4120.443333,8509.74,1265.276667,4890.793333,8210.336667,20639.89,938.02,801.2933333
sample67,5322.393333,320.4466667,6071.33,709.2533333,2992.7,6855.61,1133.06,4603.26,6392.263333,16444.13,752.3466667,654.1866667
