,reference
sample1,5040.042712
sample2,5441.959531
sample3,5348.047538
sample4,5644.392672
sample5,5946.973698
sample6,7531.950555
sample7,8162.837058
sample8,8816.462969
sample9,9317.226891
sample10,10140.99217
sample11,1240
sample12,1500
sample13,1870
sample14,1640
sample15,1400
sample16,1020
sample17,2260
sample18,1980
sample19,7228.915663
sample20,1740
sample21,2760
sample22,3850
sample23,1030
sample24,8140
sample25,1340
sample26,590
sample27,2630
sample28,940
sample29,1900
sample30,1530
sample31,720
sample32,2230
sample33,2090
sample34,2070
sample35,1780
sample36,1830
sample37,1470
sample38,2000
sample39,1020
sample40,2760
sample41,1880
sample42,1760
sample43,1360
sample44,1610
sample45,1540
sample46,3430
sample47,1600
sample48,2070
sample49,2990
sample50,6164.311879
sample51,1630
sample52,2180
sample53,2970
sample54,1510
sample55,1210
sample56,1670
sample57,1670
sample58,2000
sample59,1850
sample60,2090
sample61,1800
sample62,1860
sample63,1490
sample64,1080
sample65,1880
sample66,2830
sample67,2680
